"","X","KeySignatureConfidence","Tempo","TimeSignature","TimeSignatureConfidence","Title","Year","ArtistFamiliarity","Hotness","end_of_fade_in","key","Loudness","mode","mode_confidence","rank","hit"
"159",159,0.035,"132.994",4,0,"runaway",1996,0.695792974369,"0.475556822485",0.597,"11",-7.179,0,0.374,84,0
"160",160,0.445,"89.657",4,0.928,"round and round",1991,0.81192581253,"0.614140285235",0.206,"4",-8.708,0,0.437,81,0
"161",161,0.107,"125.827",1,0.021,"cowboys to girls",1968,0.685017577362,"0.504114014884",0.863,"4",-10.322,1,0.295,32,1
"162",162,0.526,"195.988",4,0.547,"go your own way",1977,0.639251215758,"0.42689347237",0.213,"11",-5.275,1,0.39,94,0
"163",163,0.142,"194.172",3,1,"music",2001,0.331086091448,"0.289482948608",0.316,"7",-6.155,1,0.291,83,0
"164",164,0.414,"126.265",4,0.548,"love takes time",1991,0.847033970836,"0.787005468689",0.136,"11",-12.17,1,0.469,69,0
"165",165,0.91,"112.958",4,0.727,"holiday",2005,0.606432579504,"0.48915136578",0.095,"2",-6.177,0,0.724,39,1
"166",166,1,"78.594",4,0,"stay awhile",1971,0.449536909116,"0.324374425532",0.227,"3",-10.867,1,0.901,57,0
"167",167,0.352,"97.022",4,0.565,"smile",2010,0.733714696487,"0.459665456728",0.125,"9",-8.299,0,0.345,97,0
"168",168,0.591,"91.084",4,0.686,"rise",1980,0.450743177522,"0.331214989792",3.1,"2",-6.398,0,0.51,54,0
"169",169,0.652,"115.031",4,0.969,"hold on",1995,0.569254391406,"0.340867400105",0,"9",-12.185,1,0.695,52,0
"170",170,0.932,"136.0",4,0.616,"when you believe",1999,0.691605722581,"0.457834920227",0.125,"5",-10.097,1,0.789,99,0
"171",171,0.498,"178.012",4,0,"i want to know what love is",1985,0.692901904204,"0.483891064074",0.364,"3",-8.49,0,0.545,4,1
"172",172,0.197,"152.005",4,1,"lonely",2005,0.629214300156,"0.492224126286",0.641,"9",-4.346,0,0.32,44,1
"173",173,0.384,"114.102",4,0.693,"you and me",2006,0.417853424687,"0.240017460771",1.007,"5",-4.152,1,0.501,83,0
"174",174,0.176,"103.019",4,1,"unbelievable",1991,0.766790562587,"0.513740405714",0.077,"8",-5.639,0,0.258,6,1
"175",175,1,"146.308",5,1,"constantly",1995,0.381906392499,"0.245723606118",0.316,"4",-8.981,1,0.226,80,0
"176",176,0.015,"86.678",5,0.608,"party all the time",1986,0.710494896533,"0.432899565749",0,"8",-6.037,0,0.227,7,1
"177",177,0.458,"78.196",4,0.284,"love so right",1977,0.521605558652,"0.367507304408",0,"6",-12.391,1,0.509,80,0
"178",178,0.29,"109.947",4,1,"bad day",2006,0.548232233385,"0.401581153216",9.822,"1",-11.604,1,0.523,1,1
"179",179,0.545,"138.352",1,0,"everyday",1994,0.599328242033,"0.42671024422",0.565,"8",-24.902,0,0.688,86,0
"180",180,0.64,"89.239",4,0.303,"heaven",2004,0.420722776426,"0.316203903181",0,"9",-5.465,1,0.354,37,1
"181",181,0.359,"97.99",4,0.474,"superman",2003,0.65393782097,"0.375470162811",0.136,"10",-10.555,0,0.405,98,0
"182",182,0.551,"163.929",4,0.416,"yeah",2004,0.509131038532,"0.369745832149",0,"4",-9.117,0,0.561,1,1
"183",183,0.056,"88.973",4,1,"feelings",1975,0.524694957898,"0.368067241031",0,"4",-3.584,0,0.206,45,1
"184",184,0.447,"132.892",4,0.398,"if you love me",1995,0.506933335781,"0.334851270474",0.48,"7",-5.963,1,0.508,34,1
"185",185,0.542,"150.52",4,0,"crazy",2006,0.575674035813,"0.431295635155",0.229,"3",-7.729,0,0.537,7,1
"186",186,0.425,"133.03",4,1,"breakaway",2005,0.768833735472,"0.520752307684",0,"6",-3.68,1,0.442,27,1
"187",187,0.153,"127.26",3,0.835,"shine",1994,0.490599604673,"0.318473150523",0,"10",-7.408,0,0.456,31,1
"188",188,0.316,"141.436",4,0,"go the distance",1997,0.037134156446,"0.0",0.229,"10",-9.622,1,0.381,89,0
"189",189,0.431,"144.99",4,0,"i need you",2000,0.650219484899,"0.569460848691",0,"0",-2.213,1,0.26,44,1
"190",190,0.445,"233.241",5,1,"50 ways to leave your lover",1976,0.612385500488,"0.473525421497",0,"0",-15.099,1,0.405,8,1
"191",191,0.07,"125.327",3,1,"girlfriend",2007,0.693100208328,"0.582726255286",0.096,"7",-3.331,1,0.415,12,1
"192",192,1,"202.987",1,0.433,"stir it up",1973,0.447437229532,"0.345197043162",0.2,"0",-6.626,1,0.704,91,0
"193",193,0.357,"96.904",4,0.389,"fire",1979,0.756839732156,"0.568089179134",0.232,"5",-10.658,1,0.488,15,1
"194",194,0.397,"90.894",4,0.724,"get down",1973,0.583298629996,"0.354574370509",0.154,"7",-6.875,1,0.417,66,0
"195",195,0.772,"143.577",4,0.093,"the good stuff",2002,0.797208182524,"0.776492303299",0.191,"7",-8.176,1,0.708,82,0
"196",196,0.304,"44.185",4,0,"hello again",1981,0.817635146361,"0.556020401678",0,"7",-17.319,1,0.831,70,0
"197",197,0.016,"101.771",4,0,"i was made to love her",1967,0.823568204877,"0.600265107973",2.02,"10",-12.229,1,0.397,14,1
"198",198,0.447,"115.814",4,1,"imaginary lover",1978,0.587929915686,"0.472485408528",0,"9",-5.404,0,0.565,51,0
"201",201,0.491,"108.109",4,1,"i want you to want me",1979,0.802844101696,"0.518218118952",0.112,"0",-2.908,1,0.546,34,1
"202",202,1,"104.993",4,0.439,"hold the line",1979,0.565109872884,"0.412558196679",0.235,"4",-5.007,0,0.729,44,1
"203",203,0.462,"43.211",4,0,"misty",1975,0.575692298657,"0.36682078764",0.357,"5",-18.199,0,0.747,92,0
"204",204,0.526,"148.382",1,0,"make it with you",1970,0.606975737219,"0.386289651246",0.276,"0",-12.692,1,0.478,13,1
"205",205,0.241,"100.777",4,1,"dancing queen",1977,0.81024113607,"0.576638039287",0.113,"9",-6.988,1,0.402,12,1
"206",206,0.221,"101.044",4,0.999,"get it together",1997,0.853124523276,"0.591628024008",0,"11",-8.127,1,0.195,48,1
"207",207,0.016,"131.894",4,0,"i know",1995,0.590848579967,"0.411663221419",0.067,"1",-7.48,1,0.393,11,1
"208",208,0.697,"120.001",4,0.959,"halo",2009,0.514397818589,"0.377913897287",2.711,"3",-15.576,0,0.594,24,1
"209",209,0.87,"0.0",3,0.909,"respect yourself",1987,0.558797162873,"0.405372186559",0.363,"11",-8.336,0,0.683,89,0
"210",210,0.389,"186.755",1,0,"feelings",1975,0.807149662351,"0.620115195823",0.067,"0",-5.221,1,0.474,45,1
"212",212,0.861,"129.546",4,0,"believe",1999,0.541217687589,"0.332111423935",0.189,"8",-4.775,1,0.528,1,1
"213",213,0.73,"93.08",4,0.88,"irresistible",2001,0.772518285041,"0.578790799175",2.577,"1",-6.288,0,0.49,63,0
"214",214,0.587,"116.864",4,0.869,"fall in love with me",1983,0.782893258759,"0.534445727361",2.444,"7",-9.483,0,0.474,100,0
"215",215,0.511,"124.26",4,1,"hello again",1981,0.533799550679,"0.411362037353",0.194,"0",-3.755,1,0.408,70,0
"216",216,0.192,"87.526",4,0.485,"take the money and run",1976,0.497712587714,"0.407281321131",0,"2",-5.998,1,0.393,98,0
"217",217,0.161,"130.725",4,0.039,"hungry",1966,0.558130342191,"0.370889043417",2.891,"1",-11.03,1,0.26,97,0
"218",218,0.222,"127.982",4,0,"out of touch",1985,0.597287614695,"0.394950989137",0,"9",-7.689,0,0.285,6,1
"219",219,1,"105.097",4,0,"one more time",1997,0.453424701364,"0.352751258647",0.548,"2",-16.998,1,0.788,90,0
"220",220,0.091,"106.753",5,0.558,"breathe",2000,0.62511520702,"0.390095868785",0.252,"1",-9.539,1,0.344,1,1
"221",221,0.481,"100.404",4,1,"love",2006,0.841570222562,"0.454161113974",0.369,"8",-8.439,0,0.475,93,0
"223",223,0.693,"114.39",4,1,"gone",2002,0.877213745925,"1.08250255673",0.08,"10",-6.029,0,0.559,75,0
"224",224,0.559,"139.102",1,0.016,"you",2007,0.465479025987,"0.356698701572",0,"3",-4.786,0,0.38,40,1
"225",225,0.695,"122.565",4,0,"here we go again",1993,0.70279771426,"0.569861220982",0.212,"1",-5.449,1,0.467,59,0
"226",226,0.226,"174.059",4,0,"call me",1980,0.620800576747,"0.443740315831",0,"8",-9.62,1,0.433,1,1
"227",227,0.531,"99.43",4,0.703,"good times",1979,0.392860697773,"0.287810268027",0.27,"0",-8.554,0,0.327,20,1
"229",229,0.646,"126.664",4,0.125,"amazing grace",1971,0.184250146825,"0.0",0.204,"7",-9.237,1,0.4,80,0
"230",230,0.446,"128.943",1,0.236,"casanova",1987,0.210085554782,"0.210587932138",0.136,"8",-10.48,1,0.549,71,0
"231",231,0.675,"131.899",4,0.621,"sara",1986,0.424390289319,"0.0",0.972,"10",-8.112,0,0.679,24,1
"232",232,0,"120.211",4,0.997,"missing you",2001,0.368436340117,"0.0",0.322,"2",-6.941,0,0.297,49,1
"233",233,0.647,"155.632",4,0.736,"believe",1999,0.475795310766,"0.361166881321",0.433,"0",-7.669,1,0.553,1,1
